time, original
0, 0.000000
1, 0.000000
2, 0.000019
3, 0.000080
4, 0.000020
5, 0.000074
6, 0.000257
7, 0.000072
8, 0.000184
9, 0.000279
10, 0.000049
11, 0.000320
12, 0.000879
13, 0.000449
14, 0.000580
15, 0.000625
16, 0.000642
17, 0.000989
18, 0.000606
19, 0.001135
20, 0.001452
21, 0.001130
22, 0.001394
23, 0.001558
24, 0.001298
25, 0.001281
26, 0.001399
27, 0.001138
28, 0.000687
29, 0.001457
30, 0.000949
31, 0.000244
32, 0.001647
33, 0.000995
34, 0.000335
35, 0.001725
36, 0.004472
37, 0.004968
38, 0.009299
39, 0.025009
40, 0.035332
41, 0.088678
42, 0.236744
43, 0.515696
44, 0.926990
45, 1.831165
46, 3.799659
47, 5.404489
48, 6.345135
49, 12.227961
50, 18.092387
51, 12.775773
52, 19.684286
53, 36.716218
54, 25.065891
55, 29.322647
56, 49.062367
57, 42.459264
58, 53.733736
59, 62.243170
60, 48.784724
61, 91.552042
62, 97.653805
63, 65.719069
64, 126.801693
65, 127.965085
66, 118.655927
67, 170.598011
68, 125.630675
69, 167.161233
70, 243.701133
71, 136.538231
72, 158.070423
73, 326.618909
74, 183.831777
75, 142.104366
76, 368.332430
77, 232.920413
78, 145.074340
79, 387.420273
80, 213.612829
81, 167.042349
82, 408.362816
83, 160.872006
84, 212.417515
85, 416.138744
86, 160.237920
87, 250.656704
88, 414.493209
89, 180.859862
90, 260.695137
91, 392.084833
92, 205.978324
93, 241.947355
94, 398.585040
95, 190.313703
96, 262.783560
97, 400.285683
98, 206.204260
99, 290.025037
100, 413.177317
101, 223.686166
102, 299.608378
103, 425.644207
104, 205.312661
105, 268.096729
106, 453.985825
107, 203.456872
108, 252.513024
109, 472.683652
110, 271.100183
111, 290.729504
112, 460.138078
113, 333.447029
114, 342.555922
115, 470.243225
116, 315.486404
117, 395.688432
118, 466.831515
119, 359.217727
120, 397.180167
121, 518.446298
122, 398.458655
123, 400.550276
124, 558.975072
125, 457.041477
126, 361.319729
127, 562.683175
128, 587.764702
129, 348.813185
130, 508.116734
131, 769.385767
132, 397.110357
133, 448.988828
134, 892.869702
135, 468.580507
136, 426.958553
137, 931.509814
138, 536.913614
139, 493.560837
140, 848.569928
141, 707.614228
142, 529.837606
143, 796.106014
144, 941.340099
145, 529.216168
146, 767.482195
147, 1092.260484
148, 675.750567
149, 652.632327
150, 1206.846981
151, 905.135600
152, 725.681942
153, 1050.999423
154, 1296.815759
155, 857.200718
156, 764.255685
157, 1645.411169
158, 1018.865214
159, 643.795718
160, 1495.383879
161, 1501.590073
162, 558.581001
163, 1133.361319
164, 1844.749806
165, 529.912420
166, 876.605213
167, 1606.894903
168, 653.641878
169, 686.406153
170, 1295.935127
171, 837.385877
172, 555.677630
173, 1008.531034
174, 988.460126
175, 516.473202
176, 854.490669
177, 998.159936
178, 756.985099
179, 911.841706
180, 888.122269
181, 1156.542815
182, 963.483215
183, 836.336831
184, 1354.684421
185, 939.674778
186, 759.859397
187, 1319.964531
188, 823.299934
189, 548.376340
190, 1202.113501
191, 700.056345
192, 300.973684
193, 1017.420648
194, 644.312873
195, 239.968385
196, 744.037346
197, 643.961654
198, 271.237160
199, 507.870391
200, 613.016612
201, 259.610826
202, 385.117456
203, 490.748169
204, 241.599822
205, 312.417436
206, 352.467412
207, 211.668469
208, 235.406586
209, 246.622764
210, 156.255203
211, 151.043439
212, 164.078763
213, 107.989864
214, 90.847535
215, 100.604419
216, 67.226811
217, 57.157368
218, 59.225735
219, 34.187753
220, 32.686413
221, 34.231951
222, 16.328229
223, 15.626891
224, 18.572251
225, 7.432540
226, 7.868795
227, 8.439211
228, 2.464556
229, 4.623655
230, 3.898889
231, 1.287331
232, 2.428713
233, 2.282663
234, 1.546430
235, 1.480073
236, 1.449699
237, 1.288603
238, 1.115917
239, 0.912175
240, 0.671701
241, 0.732541
242, 0.587431
243, 0.270913
244, 0.404793
245, 0.416731
246, 0.142242
247, 0.294334
248, 0.384361
249, 0.192575
250, 0.318238
251, 0.385975
252, 0.332271
253, 0.360662
254, 0.337641
255, 0.300029
256, 0.306918
257, 0.265014
258, 0.122350
259, 0.173715
260, 0.146704
261, 0.020920
262, 0.053201
263, 0.079029
264, 0.006918
265, 0.026133
266, 0.037509
267, 0.013296
268, 0.029195
269, 0.026366
270, 0.018225
271, 0.031773
272, 0.030109
273, 0.019259
274, 0.031965
275, 0.040358
276, 0.022927
277, 0.027393
278, 0.038322
279, 0.032538
280, 0.021537
281, 0.028917
282, 0.034847
283, 0.021842
284, 0.023064
285, 0.024761
286, 0.027420
287, 0.020141
288, 0.016457
289, 0.027044
290, 0.016763
291, 0.012133
292, 0.020063
293, 0.019207
294, 0.011614
295, 0.014197
296, 0.016093
297, 0.005062
298, 0.004264
299, 0.012522
300, 0.002748
301, 0.004801
302, 0.012723
303, 0.002088
304, 0.004132
305, 0.009200
