x, y
0,1.093805
0.1,1.749855
0.2,1.072269
0.3,-0.568787
0.4,-1.800019
0.5,-1.548192
0.6,-0.084914
0.7,1.268486
0.8,1.454288
0.9,0.636128
1,-0.152283
1.1,-0.202468
1.2,0.166590
1.3,0.132856
1.4,-0.533503
1.5,-1.093517
1.6,-0.652034
1.7,0.730877
1.8,1.906914
1.9,1.723712
2,0.221691
2.1,-1.334966
2.2,-1.662403
2.3,-0.663848
2.4,0.587412
2.5,1.012485
2.6,0.570218
2.7,0.103046
2.8,0.247476
2.9,0.679256
3,0.545988
3.1,-0.422386
3.2,-1.422956
3.3,-1.337183
3.4,0.034947
3.5,1.618189
3.6,1.943752
3.7,0.953862
3.8,-0.621629
3.9,-1.350952
4,-0.851099
4.1,0.082139
4.2,0.461182
4.3,0.170723
4.4,-0.046850
4.5,0.397388
4.6,1.130162
4.7,1.171148
4.8,0.088722
4.9,-1.346424
5,-1.809642
5.1,-0.755299
5.2,0.968406
5.3,1.903390
5.4,1.374922
5.5,0.065767
5.6,-0.779450
5.7,-0.626885
5.8,-0.053528
5.9,0.076290
6,-0.332731
6.1,-0.524618
6.2,0.136421
6.3,1.270795
6.4,1.737131
6.5,0.833349
6.6,-0.845577
6.7,-1.966933
6.8,-1.358155
6.9,0.190270
7,1.393918
7.1,1.363909
7.2,0.471510
7.3,-0.216779
7.4,-0.147633
7.5,0.207937
7.6,0.055295
7.7,-0.664456
7.8,-1.103959
7.9,-0.464201
8,0.982424
8.1,1.989082
8.2,1.539945
8.3,-0.079334
8.4,-1.497289
8.5,-1.568162
8.6,-0.434084
8.7,0.733520
8.8,0.982135
8.9,0.466949
9,0.080495
9.1,0.322299
9.2,0.716684
9.3,0.432031
9.4,-0.621995
9.5,-1.506942
9.6,-1.180751
9.7,0.328204
9.8,1.797821
9.9,1.947015
10,0.682882
10.1,-0.830763
10.2,-1.342849
10.3,-0.692673
10.4,0.202101
10.5,0.445693
10.6,0.104541
10.7,-0.021748
10.8,0.525058
10.9,1.210451
11,1.061645
11.1,-0.164105
11.2,-1.523585
11.3,-1.731986
11.4,-0.472497
11.5,1.215591
11.6,1.914095
11.7,1.175114
11.8,-0.137850
11.9,-0.819844
12,-0.533135
12.1,0.015390
12.2,0.031818
12.3,-0.405727
12.4,-0.477646
12.5,0.320882
12.6,1.427769
12.7,1.682214
12.8,0.570278
12.9,-1.102542
13,-1.992713
13.1,-1.136607
13.2,0.454368
13.3,1.481093
13.4,1.247321
13.5,0.314098
13.6,-0.257065
13.7,-0.083827
13.8,0.232899
13.9,-0.040793
14,-0.787403
14.1,-1.081022
14.2,-0.250913
14.3,1.220956
14.4,1.932834
14.5,1.320206
14.6,-0.374058
14.7,-1.618092
14.8,-1.437135
14.9,-0.204009
15,0.850644
15.1,0.928223
15.2,0.368426
15.3,0.078387
15.4,0.402431
15.5,0.732918
15.6,0.293516
15.7,-0.817158
15.8,-1.553849
15.9,-0.987682
16,0.620527
16.1,1.936967
16.2,1.813183
16.3,0.404647
16.4,-1.008643
16.5,-1.299018
16.6,-0.527445
16.7,0.301014
16.8,0.411680
16.9,0.045373
17,0.025106
17.1,0.657880
17.2,1.265223
17.3,0.918499
17.4,-0.421670
17.5,-1.665648
17.6,-1.609222
17.7,-0.176573
17.8,1.432205
17.9,1.880675
18,0.958211
18.1,-0.321259
18.2,-0.830038
18.3,-0.431785
18.4,0.066861
18.5,-0.027532
18.6,-0.467553
18.7,-0.403169
18.8,0.515723
18.9,1.558953
19,1.585144
19.1,0.289643
19.2,-1.332732
19.3,-1.970675
19.4,-0.889890
19.5,0.700621
19.6,1.529267
19.7,1.109659
19.8,0.168806
19.9,-0.273624
20,-0.015610
20.1,0.238837
20.2,-0.152485
20.3,-0.896901
20.4,-1.023224
20.5,-0.017232
20.6,1.439460
20.7,1.924002
20.8,1.070108
20.9,-0.654810
21,-1.695015
21.1,-1.274105
21.2,0.019811
21.3,0.937063
21.4,0.854785
21.5,0.279096
21.6,0.096258
21.7,0.483229
21.8,0.725021
21.9,0.133432
22,-1.001488
22.1,-1.560760
22.2,-0.762274
22.3,0.904126
22.4,1.938128
22.5,1.640052
22.6,0.126717
22.7,-1.151581
22.8,-1.222660
22.9,-0.361285
23,0.376854
23.1,0.362601
23.2,-0.002596
23.3,0.093128
23.4,0.790709
23.5,1.290654
23.6,0.744215
23.7,-0.676865
23.8,-1.767961
23.9,-1.444154
24,0.124687
24.1,1.613009
24.2,1.805247
24.3,0.730960
24.4,-0.480180
24.5,-0.812057
24.6,-0.327944
24.7,0.098975
24.8,-0.098319
24.9,-0.513781
25,-0.301596
25.1,0.715238
25.2,1.659180
25.3,1.447234
25.4,-0.001349
25.5,-1.529914
25.6,-1.529914
