x, y
0,1.470881
0.01,1.520410
0.02,1.568915
0.03,1.616272
0.04,1.662359
0.05,1.707056
0.06,1.750245
0.07,1.791810
0.08,1.831638
0.09,1.869618
0.1,1.905643
0.11,1.939611
0.12,1.971421
0.13,1.530095
0.14,1.557307
0.15,1.582086
0.16,1.604351
0.17,1.624025
0.18,1.641036
0.19,1.655316
0.2,1.666807
0.21,1.675451
0.22,1.681200
0.23,1.684010
0.24,1.683845
0.25,1.680673
0.26,1.674472
0.27,1.665222
0.28,1.652913
0.29,1.637540
0.3,1.619105
0.31,1.597618
0.32,1.573094
0.33,1.545555
0.34,1.985912
0.35,1.952438
0.36,1.916057
0.37,1.876818
0.38,1.834776
0.39,1.789993
0.4,1.742536
0.41,1.692481
0.42,1.639908
0.43,1.584901
0.44,1.527553
0.45,1.467961
0.46,1.406227
0.47,1.342459
0.48,1.276768
0.49,1.209272
0.5,1.140091
0.51,1.069350
0.52,0.997179
0.53,0.923709
0.54,0.849077
0.55,0.773421
0.56,0.696883
0.57,0.619605
0.58,0.541733
0.59,0.463415
0.6,0.384799
0.61,0.306035
0.62,0.227273
0.63,0.148663
0.64,0.070357
0.65,-0.007495
0.66,-0.084743
0.67,-0.161240
0.68,-0.236836
0.69,-0.311387
0.7,-0.384748
0.71,-0.456778
0.72,-0.527338
0.73,-0.596292
0.74,-0.663507
0.75,-0.728854
0.76,-0.792206
0.77,-0.853443
0.78,-0.912448
0.79,-0.969108
0.8,-1.023315
0.81,-1.545848
0.82,-1.594847
0.83,-1.641103
0.84,-1.684528
0.85,-1.725043
0.86,-1.762574
0.87,-1.797053
0.88,-1.828420
0.89,-1.856619
0.9,-1.881602
0.91,-1.903329
0.92,-1.921764
0.93,-1.936880
0.94,-1.948656
0.95,-1.957080
0.96,-1.962144
0.97,-1.963849
0.98,-1.962202
0.99,-1.957217
1,-1.948917
1.01,-1.937329
1.02,-1.922488
1.03,-1.904436
1.04,-1.883222
1.05,-1.858899
1.06,-1.831530
1.07,-1.801181
1.08,-1.767926
1.09,-1.731844
1.1,-1.693020
1.11,-1.651544
1.12,-1.607510
1.13,-1.561021
1.14,-1.041299
1.15,-0.990216
1.16,-0.937006
1.17,-0.881785
1.18,-0.824675
1.19,-0.765802
1.2,-0.705293
1.21,-0.643278
1.22,-0.579891
1.23,-0.515267
1.24,-0.449543
1.25,-0.382857
1.26,-0.315351
1.27,-0.247163
1.28,-0.178437
1.29,-0.109312
1.3,-0.039931
1.31,0.029566
1.32,0.099038
1.33,0.168346
1.34,0.237353
1.35,0.305923
1.36,0.373921
1.37,0.441216
1.38,0.507679
1.39,0.573184
1.4,0.637607
1.41,0.700829
1.42,0.762735
1.43,0.823212
1.44,0.882152
1.45,0.939453
1.46,0.995016
1.47,1.048746
1.48,1.100556
1.49,1.150362
1.5,1.198085
1.51,1.243654
1.52,1.287001
1.53,1.328065
1.54,1.366792
1.55,1.403132
1.56,1.437041
1.57,1.468484
1.58,1.497430
1.59,1.523854
1.6,1.547739
1.61,1.569071
1.62,1.587847
1.63,1.604066
1.64,1.617735
1.65,1.628867
1.66,1.637481
1.67,1.643603
1.68,1.647262
1.69,1.648496
1.7,1.647346
1.71,1.643860
1.72,1.638092
1.73,1.630098
1.74,1.619941
1.75,1.607691
1.76,1.593418
1.77,1.577199
1.78,1.559115
1.79,1.539250
1.8,1.517693
1.81,1.494534
1.82,1.469868
1.83,1.443794
1.84,1.416409
1.85,1.387817
1.86,1.358122
1.87,1.327429
1.88,1.295846
1.89,1.263481
1.9,1.230443
1.91,1.196842
1.92,1.162787
1.93,1.128388
1.94,1.093754
1.95,1.058995
1.96,1.024218
1.97,0.989529
1.98,0.955033
1.99,0.920833
2,0.887030
2.01,0.853723
2.02,0.821008
2.03,0.788977
2.04,0.757721
2.05,0.727327
2.06,0.697877
2.07,0.669450
2.08,0.642122
2.09,0.615965
2.1,0.591044
2.11,0.567422
2.12,0.545157
2.13,0.524301
2.14,0.504902
2.15,0.487002
2.16,0.470639
2.17,0.455846
2.18,0.442649
2.19,0.431069
2.2,0.421124
2.21,0.412822
2.22,0.406170
2.23,0.401167
2.24,0.397807
2.25,0.396080
2.26,0.395967
2.27,0.397448
2.28,0.400496
2.29,0.405077
2.3,0.411154
2.31,0.418686
2.32,0.427624
2.33,0.437918
2.34,0.449510
2.35,0.462341
2.36,0.476344
2.37,0.491452
2.38,0.507592
2.39,0.524688
2.4,0.542660
2.41,0.561425
2.42,0.580899
2.43,0.600993
2.44,0.621617
2.45,0.642678
2.46,0.664082
2.47,0.685733
2.48,0.707535
2.49,0.729388
2.5,0.751195
2.51,0.772855
2.52,0.794270
2.53,0.815340
2.54,0.835966
2.55,0.856050
2.56,0.856050
