x, y
0,1.101463
0.1,1.757512
0.2,1.079926
0.3,-0.561129
0.4,-1.792362
0.5,-1.540534
0.6,-0.077257
0.7,1.276143
0.8,1.461946
0.9,0.643786
1,-0.144625
1.1,-0.194811
1.2,0.174248
1.3,0.140513
1.4,-0.525845
1.5,-1.085860
1.6,-0.644377
1.7,0.738534
1.8,1.914571
1.9,1.731369
2,0.229349
2.1,-1.327309
2.2,-1.654746
2.3,-0.656190
2.4,0.595069
2.5,1.020143
2.6,0.577875
2.7,0.110704
2.8,0.255134
2.9,0.686913
3,0.553645
3.1,-0.414728
3.2,-1.415299
3.3,-1.329526
3.4,0.042604
3.5,1.625847
3.6,1.943752
3.7,0.961520
3.8,-0.613972
3.9,-1.343295
4,-0.843441
4.1,0.089796
4.2,0.468839
4.3,0.178381
4.4,-0.039192
4.5,0.405046
4.6,1.137819
4.7,1.178805
4.8,0.096380
4.9,-1.338767
5,-1.903447
5.1,-0.747642
5.2,0.976064
5.3,1.911047
5.4,1.382580
5.5,0.073424
5.6,-0.771793
5.7,-0.619228
5.8,-0.045871
5.9,0.083947
6,-0.325074
6.1,-0.516960
6.2,0.144078
6.3,1.278453
6.4,1.744788
6.5,0.841007
6.6,-0.837919
6.7,-1.966933
6.8,-1.350497
6.9,0.197928
7,1.401575
7.1,1.371566
7.2,0.479167
7.3,-0.209122
7.4,-0.139976
7.5,0.215594
7.6,0.062953
7.7,-0.656798
7.8,-1.096302
7.9,-0.456543
8,0.990081
8.1,1.996739
8.2,1.547602
8.3,-0.071676
8.4,-1.489632
8.5,-1.560505
8.6,-0.426426
8.7,0.741178
8.8,0.989793
8.9,0.474607
9,0.088153
9.1,0.329957
9.2,0.724342
9.3,0.439689
9.4,-0.614338
9.5,-1.499284
9.6,-1.173094
9.7,0.335861
9.8,1.805478
9.9,1.954672
10,0.690539
10.1,-0.823105
10.2,-1.335192
10.3,-0.685016
10.4,0.209759
10.5,0.453351
10.6,0.112198
10.7,-0.014091
10.8,0.532715
10.9,1.218108
11,1.069303
11.1,-0.156447
11.2,-1.515927
11.3,-1.724328
11.4,-0.464840
11.5,1.223249
11.6,1.921752
11.7,1.182771
11.8,-0.130193
11.9,-0.812186
12,-0.525477
12.1,0.023047
12.2,0.039476
12.3,-0.398069
12.4,-0.469989
12.5,0.328539
12.6,1.435426
12.7,1.689871
12.8,0.577935
12.9,-1.094885
13,-1.992713
13.1,-1.128949
13.2,0.462026
13.3,1.488751
13.4,1.254978
13.5,0.321756
13.6,-0.249408
13.7,-0.076169
13.8,0.240557
13.9,-0.033136
14,-0.779746
14.1,-1.073365
14.2,-0.243255
14.3,1.228614
14.4,1.932834
14.5,1.327863
14.6,-0.366400
14.7,-1.610434
14.8,-1.429478
14.9,-0.196352
15,0.858301
15.1,0.935880
15.2,0.376083
15.3,0.086045
15.4,0.410088
15.5,0.740575
15.6,0.301173
15.7,-0.809500
15.8,-1.546191
15.9,-0.980025
16,0.628184
16.1,1.944625
16.2,1.820841
16.3,0.412304
16.4,-1.000985
16.5,-1.291360
16.6,-0.519788
16.7,0.308671
16.8,0.419337
16.9,0.053030
17,0.032763
17.1,0.665538
17.2,1.272880
17.3,0.926156
17.4,-0.414013
17.5,-1.657990
17.6,-1.601564
17.7,-0.168916
17.8,1.439863
17.9,1.888332
18,0.965868
18.1,-0.313602
18.2,-0.822381
18.3,-0.424127
18.4,0.074518
18.5,-0.019874
18.6,-0.459895
18.7,-0.395512
18.8,0.523380
18.9,1.566610
19,1.592802
19.1,0.297300
19.2,-1.325074
19.3,-1.970675
19.4,-0.882233
19.5,0.708279
19.6,1.536925
19.7,1.117316
19.8,0.176464
19.9,-0.265967
20,-0.007952
20.1,0.246495
20.2,-0.144827
20.3,-0.889244
20.4,-1.015566
20.5,-0.009575
20.6,1.447117
20.7,1.924002
20.8,1.077766
20.9,-0.647153
21,-1.687358
21.1,-1.266447
21.2,0.027468
21.3,0.944720
21.4,0.862443
21.5,0.286753
21.6,0.103916
21.7,0.490886
21.8,0.732679
21.9,0.141089
22,-0.993830
22.1,-1.553103
22.2,-0.754617
22.3,0.911784
22.4,1.938128
22.5,1.647709
22.6,0.134375
22.7,-1.143923
22.8,-1.215002
22.9,-0.353627
23,0.384512
23.1,0.370258
23.2,0.005061
23.3,0.100786
23.4,0.798367
23.5,1.298312
23.6,0.751873
23.7,-0.669208
23.8,-1.760303
23.9,-1.436497
24,0.132344
24.1,1.620666
24.2,1.812905
24.3,0.738617
24.4,-0.472523
24.5,-0.804400
24.6,-0.320286
24.7,0.106633
24.8,-0.090662
24.9,-0.506123
25,-0.293938
25.1,0.722896
25.2,1.666838
25.3,1.454891
25.4,0.006309
25.5,-1.522257
25.6,-1.522257
