time, original
399, 0.010071
400, 0.002823
401, -0.003036
402, -0.008469
403, -0.012161
404, -0.013824
405, -0.012756
406, -0.014771
407, -0.019547
408, -0.022583
409, -0.023743
410, -0.019791
411, -0.015564
412, -0.015228
413, -0.015015
414, -0.018158
415, -0.021210
416, -0.021667
417, -0.029068
418, -0.036469
419, -0.039200
420, -0.047470
421, -0.051483
422, -0.043610
423, -0.035217
424, -0.029068
425, -0.025589
426, -0.027542
427, -0.029999
428, -0.035141
429, -0.043579
430, -0.051514
431, -0.061478
432, -0.072266
433, -0.080246
434, -0.088699
435, -0.102432
436, -0.118103
437, -0.131165
438, -0.148483
439, -0.166046
440, -0.174149
441, -0.173233
442, -0.162582
443, -0.143600
444, -0.121216
445, -0.097397
446, -0.076233
447, -0.055847
448, -0.038239
449, -0.033630
450, -0.028534
451, -0.018021
452, -0.007614
453, 0.006714
454, 0.022293
455, 0.041641
456, 0.065277
457, 0.089172
458, 0.107788
459, 0.122086
460, 0.133301
461, 0.139923
462, 0.142761
463, 0.141724
464, 0.136383
465, 0.126709
466, 0.114563
467, 0.097534
468, 0.077148
469, 0.059006
470, 0.041672
471, 0.023880
472, 0.005615
473, -0.014160
474, -0.032608
475, -0.050201
476, -0.065643
477, -0.077759
478, -0.090469
479, -0.100571
480, -0.107346
481, -0.113785
482, -0.114624
483, -0.110138
484, -0.104782
485, -0.100815
486, -0.098267
487, -0.095459
488, -0.093658
489, -0.092438
490, -0.089203
491, -0.084427
492, -0.079926
493, -0.074768
494, -0.067337
495, -0.056213
496, -0.045578
497, -0.034882
498, -0.022995
499, -0.016403
500, -0.014389
501, -0.012772
502, -0.011383
503, -0.014725
504, -0.019958
505, -0.026550
506, -0.035187
507, -0.041656
508, -0.045227
509, -0.042953
510, -0.036850
511, -0.030716
512, -0.023514
513, -0.013016
514, -0.002182
515, 0.004959
516, 0.009079
517, 0.014450
518, 0.021835
519, 0.027710
520, 0.037949
521, 0.052322
522, 0.067657
523, 0.085144
524, 0.099747
525, 0.112000
526, 0.122040
527, 0.125992
528, 0.124954
529, 0.118973
530, 0.112961
531, 0.108536
532, 0.101700
533, 0.095520
534, 0.090546
535, 0.088074
536, 0.085907
537, 0.077621
538, 0.066177
539, 0.053375
540, 0.036636
541, 0.017227
542, -0.004242
543, -0.025177
544, -0.044174
545, -0.061096
546, -0.073776
547, -0.082077
548, -0.088470
549, -0.091827
550, -0.090378
551, -0.087967
552, -0.083603
553, -0.077698
554, -0.072556
555, -0.065628
556, -0.055588
557, -0.045975
558, -0.037277
559, -0.027756
560, -0.018890
561, -0.010391
562, -0.000214
563, 0.011093
564, 0.023315
565, 0.036896
566, 0.047989
567, 0.056976
568, 0.065964
569, 0.072571
570, 0.076904
571, 0.080475
572, 0.084000
573, 0.086777
574, 0.086151
575, 0.084579
576, 0.083801
577, 0.082504
578, 0.080460
579, 0.077667
580, 0.072937
581, 0.065613
582, 0.059525
583, 0.053833
584, 0.045975
585, 0.040756
586, 0.038071
587, 0.036499
588, 0.036972
589, 0.036453
590, 0.033844
591, 0.031677
592, 0.029999
593, 0.026352
594, 0.020767
595, 0.015594
596, 0.009933
597, 0.005951
598, 0.001785
599, -0.002228
600, -0.006485
601, -0.011063
602, -0.015610
603, -0.021790
604, -0.026093
605, -0.029449
606, -0.034851
607, -0.041428
608, -0.049225
609, -0.056458
610, -0.064514
611, -0.071030
612, -0.077545
613, -0.083496
614, -0.085800
615, -0.085892
616, -0.084778
617, -0.084122
618, -0.082169
619, -0.078812
620, -0.075027
621, -0.069931
622, -0.063293
623, -0.057266
624, -0.050323
625, -0.040146
626, -0.027740
627, -0.013931
628, 0.000244
629, 0.017502
630, 0.033981
631, 0.048584
632, 0.062164
633, 0.072845
634, 0.081207
635, 0.086426
636, 0.089661
637, 0.092041
638, 0.092728
639, 0.095657
640, 0.098007
641, 0.096664
642, 0.094193
643, 0.090012
644, 0.083817
645, 0.074768
646, 0.061478
647, 0.046890
648, 0.032227
649, 0.016281
650, 0.002670
651, -0.009216
652, -0.019135
653, -0.028549
654, -0.037231
655, -0.045013
656, -0.051483
657, -0.056046
658, -0.058670
659, -0.059647
660, -0.059677
661, -0.059921
662, -0.061584
663, -0.062256
664, -0.061783
665, -0.059631
666, -0.056412
667, -0.053680
668, -0.048508
669, -0.042099
670, -0.037048
671, -0.031143
672, -0.025345
673, -0.021225
674, -0.016190
675, -0.012436
676, -0.010239
677, -0.007858
678, -0.005127
679, -0.001984
680, 0.001205
681, 0.003571
682, 0.003830
683, 0.005402
684, 0.008774
685, 0.012131
686, 0.015121
687, 0.018234
688, 0.021637
689, 0.023087
690, 0.022507
691, 0.024857
692, 0.027939
693, 0.030014
694, 0.032745
695, 0.033905
696, 0.035919
697, 0.038589
698, 0.042145
699, 0.045731
700, 0.046570
701, 0.046921
702, 0.045807
703, 0.046310
704, 0.047729
705, 0.046829
706, 0.044037
707, 0.042099
708, 0.039017
709, 0.032990
710, 0.027359
711, 0.020676
712, 0.012451
713, 0.005692
714, 0.000275
715, -0.005157
716, -0.010971
717, -0.015915
718, -0.020966
719, -0.026794
720, -0.031647
721, -0.035324
722, -0.039993
723, -0.045380
724, -0.049896
725, -0.052994
726, -0.054230
727, -0.056046
728, -0.055344
729, -0.051773
730, -0.048492
731, -0.044785
732, -0.039307
733, -0.032181
734, -0.023438
735, -0.013840
736, -0.006668
737, -0.000900
738, 0.005722
739, 0.012466
740, 0.018753
741, 0.023926
742, 0.029877
743, 0.036911
744, 0.040359
745, 0.045258
746, 0.050140
747, 0.051697
748, 0.053467
749, 0.053482
750, 0.053299
751, 0.052643
752, 0.051727
753, 0.051361
754, 0.050690
755, 0.047134
756, 0.043839
757, 0.041245
758, 0.037704
759, 0.034286
760, 0.029617
761, 0.023773
762, 0.015259
763, 0.003922
764, -0.009583
765, -0.027954
766, -0.050552
767, -0.075623
768, -0.100739
769, -0.122833
770, -0.142822
771, -0.156738
772, -0.162628
773, -0.162262
774, -0.156830
775, -0.147751
776, -0.137405
777, -0.127258
778, -0.119217
779, -0.112656
780, -0.104401
781, -0.095734
782, -0.085007
783, -0.070831
784, -0.056152
785, -0.040009
786, -0.021469
787, -0.002869
788, 0.014297
789, 0.031219
790, 0.048935
