time, original
0, 0.003011
1, 0.734812
2, 14.093158
3, 27.697846
4, 7.780853
5, 14.519783
6, 64.029532
7, 219.490685
8, 112.824205
9, 65.009703
10, 390.650606
11, 438.904857
12, 141.617289
13, 639.462777
14, 619.876356
15, 122.169554
16, 751.005777
17, 882.344260
18, 131.957627
19, 774.192329
20, 1084.285482
21, 199.899406
22, 755.736973
23, 1206.466391
24, 246.184670
25, 664.602834
26, 1192.521952
27, 288.521094
28, 588.436257
29, 1076.757039
30, 342.906176
31, 570.449151
32, 971.286812
33, 326.302286
34, 598.954348
35, 855.717499
36, 268.519720
37, 539.234754
38, 768.472208
39, 216.153374
40, 490.321584
41, 716.394391
42, 224.069511
43, 482.344724
44, 794.884859
45, 262.756332
46, 618.003534
47, 949.909699
48, 291.836628
49, 790.723574
50, 1090.163113
51, 283.920691
52, 899.387137
53, 1174.314084
54, 252.780963
55, 946.846571
56, 1234.248739
57, 268.604789
58, 966.586579
59, 1399.580025
60, 286.875393
61, 906.455707
62, 1633.052522
63, 335.762191
64, 725.443423
65, 1806.722339
66, 374.634577
67, 618.459253
68, 1723.825040
69, 390.527942
70, 524.349434
71, 1540.870650
72, 310.200886
73, 482.587270
74, 1385.458279
75, 304.293393
76, 550.652315
77, 1414.400764
78, 494.128684
79, 626.913252
80, 1621.187475
81, 728.176165
82, 626.584157
83, 1911.174505
84, 874.968281
85, 668.647819
86, 2048.432383
87, 1077.146223
88, 754.972440
89, 2008.589925
90, 1274.999142
91, 680.900144
92, 1900.690982
93, 1393.908602
94, 529.687613
95, 1811.716696
96, 1464.148513
97, 564.729351
98, 1686.849087
99, 1477.504930
100, 690.232581
101, 1422.409602
102, 1447.329226
103, 671.956777
104, 1154.127808
105, 1270.975089
106, 703.022454
107, 845.634955
108, 1150.337045
109, 760.447865
110, 609.787940
111, 1005.175112
112, 788.836876
113, 407.720069
114, 925.342406
115, 744.450903
116, 354.169813
117, 1044.826638
118, 741.655656
119, 525.524613
120, 1381.592195
121, 937.372261
122, 845.116047
123, 1817.592479
124, 1175.966535
125, 1132.129463
126, 2124.854569
127, 1264.519100
128, 1265.003292
129, 2091.206035
130, 1128.984841
131, 1320.176308
132, 1596.018463
133, 1086.335225
134, 1271.067490
135, 1208.432624
136, 1230.803383
